Číslo;Název;Pořadové číslo;Příjmení, jméno;Tituly;Věk;Navrhující strana;Politická příslušnost;Hlasy abs.;Hlasy v %;Pořadí zvolení/náhradníka;Mandát;Rok
3;SNK Evropští demokraté;36;Molek Jan;Ing. CSc.;57;SNK ED;BEZPP;1243;1.99;34;False;2006
5;Občanská demokratická strana;23;Moravec Ivo;Ing.;42;ODS;ODS;11991;2.25;23;True;2006
3;SNK Evropští demokraté;4;Mraček Lumír;MUDr.;54;SNK ED;SNK ED;3208;5.14;1;True;2006
3;SNK Evropští demokraté;23;Mrázek Jiří;Mgr.;48;SNK ED;SNK ED;1356;2.17;21;False;2006
4;Komunistická str.Čech a Moravy;25;Musilová Jaroslava;;59;KSČM;BEZPP;3296;2.2;19;False;2006
6;Zelení a otevřená společnost;33;Musilová Marie;;47;SOS;BEZPP;1744;2.03;30;False;2006
4;Komunistická str.Čech a Moravy;3;Nadberežný Ivan;Mgr.;55;KSČM;KSČM;3563;2.38;3;True;2006
1;Nezávislí pro lidi, pro město;12;Navrátil Pavel;;59;NEZ/DEM;BEZPP;878;2.25;0;False;2006
6;Zelení a otevřená společnost;42;Nedvědová Kateřina;;40;SZ;BEZPP;1585;1.84;39;False;2006
1;Nezávislí pro lidi, pro město;37;Neškodný Jaroslav;;51;NK;BEZPP;714;1.83;0;False;2006
3;SNK Evropští demokraté;33;Niklová Vlasta;;57;SNK ED;BEZPP;1176;1.88;31;False;2006
1;Nezávislí pro lidi, pro město;20;Nikodem Jiří;;41;NK;BEZPP;808;2.07;0;False;2006
3;SNK Evropští demokraté;39;Nosek Jiří;;45;SNK ED;BEZPP;1154;1.85;37;False;2006
4;Komunistická str.Čech a Moravy;37;Nováková Anna;;70;KSČM;KSČM;3219;2.15;31;False;2006
5;Občanská demokratická strana;15;Novotný Radek;Ing.;38;ODS;ODS;12014;2.26;15;True;2006
8;Křesť.demokr.unie-Čs.str.lid.;35;Oesterreicher-Malíková Jana;Mgr.;28;KDU-ČSL;KDU-ČSL;1921;2.01;31;False;2006
7;Česká str.sociálně demokrat.;40;Ortman Rudolf;;63;ČSSD;ČSSD;3758;2.07;33;False;2006
3;SNK Evropští demokraté;8;Pachl Josef;;64;SNK ED;BEZPP;1328;2.12;7;False;2006
6;Zelení a otevřená společnost;11;Panská Romana;;34;SZ;SZ;1912;2.22;10;False;2006
4;Komunistická str.Čech a Moravy;42;Paprsek Pavel;;51;KSČM;KSČM;3170;2.12;36;False;2006
1;Nezávislí pro lidi, pro město;1;Paukejová Marie;Ing.;51;NK;BEZPP;1697;4.36;0;False;2006
4;Komunistická str.Čech a Moravy;14;Pavliš Josef;;54;KSČM;KSČM;3417;2.28;8;False;2006
8;Křesť.demokr.unie-Čs.str.lid.;43;Pechač Milan;;54;KDU-ČSL;KDU-ČSL;1703;1.78;39;False;2006
5;Občanská demokratická strana;34;Pešek Jan;;32;ODS;ODS;11672;2.19;11;False;2006
5;Občanská demokratická strana;25;Pešl Josef;Ing.;34;ODS;ODS;11828;2.22;2;False;2006
7;Česká str.sociálně demokrat.;23;Peterková Marie;Ing.;56;ČSSD;ČSSD;4076;2.24;16;False;2006
5;Občanská demokratická strana;33;Petr Jan;;41;ODS;ODS;11720;2.2;10;False;2006
1;Nezávislí pro lidi, pro město;10;Petráš Jiří;PhDr.;42;NK;BEZPP;1312;3.37;0;False;2006
8;Křesť.demokr.unie-Čs.str.lid.;18;Petrmanová Marie;Ing.;52;KDU-ČSL;KDU-ČSL;2045;2.14;15;False;2006
3;SNK Evropští demokraté;41;Pitra Václav;;45;SNK ED;BEZPP;1085;1.73;39;False;2006
3;SNK Evropští demokraté;16;Plášil Václav;;57;SNK ED;BEZPP;1378;2.2;14;False;2006
4;Komunistická str.Čech a Moravy;15;Počtová Lucie;;20;KSČM;BEZPP;3396;2.27;9;False;2006
7;Česká str.sociálně demokrat.;10;Podhola Petr;Bc.;24;ČSSD;ČSSD;4159;2.29;3;False;2006
1;Nezávislí pro lidi, pro město;32;Podlešáková Ivona;;45;NK;BEZPP;779;2.0;0;False;2006
1;Nezávislí pro lidi, pro město;42;Podruhová Kateřina;;37;NEZ/DEM;BEZPP;690;1.77;0;False;2006
1;Nezávislí pro lidi, pro město;33;Pohlodko Lubor;;41;NK;BEZPP;751;1.93;0;False;2006
1;Nezávislí pro lidi, pro město;21;Pohorský Ikar;;45;NK;BEZPP;773;1.98;0;False;2006
8;Křesť.demokr.unie-Čs.str.lid.;4;Pokorný Pavel;Ing.;52;KDU-ČSL;KDU-ČSL;2314;2.42;5;False;2006
1;Nezávislí pro lidi, pro město;18;Popelka Petr;;22;NEZ/DEM;BEZPP;854;2.19;0;False;2006
5;Občanská demokratická strana;2;Popelová Ivana;Ing.;45;ODS;ODS;12464;2.34;3;True;2006
4;Komunistická str.Čech a Moravy;31;Popková Anna;;72;KSČM;KSČM;3246;2.17;25;False;2006
5;Občanská demokratická strana;10;Pospíšil Jiří;PhDr.;57;ODS;ODS;12164;2.29;10;True;2006
3;SNK Evropští demokraté;34;Pour Tomáš;Ing.;51;SNK ED;BEZPP;1249;2.0;32;False;2006
1;Nezávislí pro lidi, pro město;5;Pražák Karel;;61;NK;BEZPP;1155;2.97;0;False;2006
3;SNK Evropští demokraté;44;Pražák Zbyněk;;48;SNK ED;BEZPP;1009;1.61;42;False;2006
6;Zelení a otevřená společnost;27;Pražáková Jitka;Mgr.;44;SOS;BEZPP;1912;2.22;24;False;2006
3;SNK Evropští demokraté;1;Procházka Jaromír;PhDr.;54;SNK ED;SNK ED;2011;3.22;2;True;2006
7;Česká str.sociálně demokrat.;30;Procházka Miloslav;Ing.;55;ČSSD;ČSSD;3977;2.19;23;False;2006
7;Česká str.sociálně demokrat.;2;Procházková Blanka;Mgr.;54;ČSSD;ČSSD;4322;2.38;2;True;2006
3;SNK Evropští demokraté;14;Procházková Světlana;Ing.;44;SNK ED;BEZPP;1426;2.28;12;False;2006
7;Česká str.sociálně demokrat.;1;Průcha Josef;JUDr.;65;ČSSD;ČSSD;4477;2.47;1;True;2006
1;Nezávislí pro lidi, pro město;24;Průchová Zdeňka;;54;NEZ/DEM;BEZPP;764;1.96;0;False;2006
8;Křesť.demokr.unie-Čs.str.lid.;44;Pšenička Jan;;70;KDU-ČSL;KDU-ČSL;1614;1.69;40;False;2006
6;Zelení a otevřená společnost;28;Rais Jaromír;Ing.;49;SOS;BEZPP;1800;2.09;25;False;2006
3;SNK Evropští demokraté;26;Rajnoha Martin;;33;SNK ED;SNK ED;1239;1.98;24;False;2006
7;Česká str.sociálně demokrat.;45;Randl Aleš;;35;ČSSD;ČSSD;3116;1.71;38;False;2006
4;Komunistická str.Čech a Moravy;13;Rataj Vlastimil;;55;KSČM;KSČM;3401;2.27;7;False;2006
8;Křesť.demokr.unie-Čs.str.lid.;29;Reitinger Petr;Ing.;46;KDU-ČSL;KDU-ČSL;1979;2.07;25;False;2006
4;Komunistická str.Čech a Moravy;11;Růžička Zdeněk;;56;KSČM;BEZPP;3461;2.31;5;False;2006
5;Občanská demokratická strana;24;Rybníček Ivan;Ing.;58;ODS;ODS;11822;2.22;1;False;2006
7;Česká str.sociálně demokrat.;36;Rýpar Zbyněk;;35;ČSSD;ČSSD;3904;2.15;29;False;2006
3;SNK Evropští demokraté;20;Sabáček Václav;Ing. MBA;51;SNK ED;SNK ED;1330;2.13;18;False;2006
4;Komunistická str.Čech a Moravy;17;Schmidtmayerová Marta;;61;KSČM;KSČM;3331;2.22;11;False;2006
4;Komunistická str.Čech a Moravy;36;Schnelzerová Vlasta;;72;KSČM;KSČM;3222;2.15;30;False;2006
7;Česká str.sociálně demokrat.;17;Simotová Marie;;57;ČSSD;ČSSD;4090;2.25;10;False;2006
7;Česká str.sociálně demokrat.;43;Singer Jan;Ing.;64;ČSSD;ČSSD;3623;1.99;36;False;2006
4;Komunistická str.Čech a Moravy;43;Skalický Jiří;;78;KSČM;KSČM;3084;2.06;37;False;2006
1;Nezávislí pro lidi, pro město;28;Sládková Dagmar;;52;NEZ/DEM;BEZPP;795;2.04;0;False;2006
7;Česká str.sociálně demokrat.;22;Slepička Václav;;65;ČSSD;ČSSD;4015;2.21;15;False;2006
4;Komunistická str.Čech a Moravy;26;Slezáček Miroslav;;57;KSČM;KSČM;3311;2.21;20;False;2006
4;Komunistická str.Čech a Moravy;29;Smítka Václav;RSDr.;65;KSČM;KSČM;3297;2.2;23;False;2006
8;Křesť.demokr.unie-Čs.str.lid.;23;Smolková Dana;Ing.;53;KDU-ČSL;KDU-ČSL;2015;2.11;20;False;2006
8;Křesť.demokr.unie-Čs.str.lid.;41;Smrčka Jaromír;MUDr.;77;KDU-ČSL;KDU-ČSL;1974;2.07;37;False;2006
8;Křesť.demokr.unie-Čs.str.lid.;42;Smutný Josef;;57;KDU-ČSL;BEZPP;1741;1.82;38;False;2006
1;Nezávislí pro lidi, pro město;26;Snížková Veronika;;21;NK;BEZPP;829;2.13;0;False;2006
6;Zelení a otevřená společnost;26;Srdečný Karel;Ing.;36;SZ;BEZPP;1857;2.16;23;False;2006
1;Nezávislí pro lidi, pro město;41;Stachová Libuše;;63;NEZ/DEM;BEZPP;672;1.72;0;False;2006
5;Občanská demokratická strana;35;Stašek Martin;Ing.;26;ODS;ODS;11684;2.2;12;False;2006
7;Česká str.sociálně demokrat.;34;Stierandová Alice;;41;ČSSD;ČSSD;3940;2.17;27;False;2006
8;Křesť.demokr.unie-Čs.str.lid.;22;Strejc Pavel;MUDr.;46;KDU-ČSL;KDU-ČSL;2119;2.22;19;False;2006
8;Křesť.demokr.unie-Čs.str.lid.;10;Stupka Petr;;50;KDU-ČSL;BEZPP;2617;2.74;3;True;2006
8;Křesť.demokr.unie-Čs.str.lid.;33;Sukdol Pavel;Ing.;37;KDU-ČSL;KDU-ČSL;1924;2.01;29;False;2006
4;Komunistická str.Čech a Moravy;24;Svoboda Daniel;;53;KSČM;BEZPP;3333;2.22;18;False;2006
1;Nezávislí pro lidi, pro město;31;Svoboda Ivan;;47;NEZ/DEM;BEZPP;745;1.91;0;False;2006
1;Nezávislí pro lidi, pro město;13;Svobodová Ludmila;;47;NK;BEZPP;876;2.25;0;False;2006
7;Česká str.sociálně demokrat.;28;Sýkora Stanislav;;52;ČSSD;ČSSD;3977;2.19;21;False;2006
7;Česká str.sociálně demokrat.;6;Sýkorová Helena;;66;ČSSD;ČSSD;4134;2.28;6;True;2006
7;Česká str.sociálně demokrat.;8;Sýkorová Jaroslava;;51;ČSSD;ČSSD;4186;2.3;1;False;2006
6;Zelení a otevřená společnost;29;Syrovátka Milan;;58;SZ;BEZPP;1733;2.02;26;False;2006
4;Komunistická str.Čech a Moravy;19;Syrovátka Vladimír;;71;KSČM;BEZPP;3319;2.21;13;False;2006
3;SNK Evropští demokraté;31;Šalek Jan;;55;SNK ED;BEZPP;1225;1.96;29;False;2006
5;Občanská demokratická strana;13;Šebek Michal;;35;ODS;ODS;11983;2.25;13;True;2006
6;Zelení a otevřená společnost;34;Šebestík Oldřich;;47;SOS;BEZPP;1698;1.98;31;False;2006
3;SNK Evropští demokraté;7;Šebková Hana;MUDr.;59;SNK ED;BEZPP;1893;3.03;2;False;2006
1;Nezávislí pro lidi, pro město;38;Šejharová Jana;;33;NEZ/DEM;BEZPP;744;1.91;0;False;2006
8;Křesť.demokr.unie-Čs.str.lid.;27;Šesták Zdeněk;;42;KDU-ČSL;KDU-ČSL;1955;2.05;23;False;2006
1;Nezávislí pro lidi, pro město;35;Šicnerová Jaroslava;;63;NEZ/DEM;BEZPP;675;1.73;0;False;2006
3;SNK Evropští demokraté;21;Šimánková Ivana;Mgr. MgA.;42;SNK ED;BEZPP;1470;2.35;19;False;2006
8;Křesť.demokr.unie-Čs.str.lid.;8;Šimek Miroslav;Mgr. Ing.;40;KDU-ČSL;KDU-ČSL;2218;2.32;8;False;2006
1;Nezávislí pro lidi, pro město;16;Šimková Petra;;39;NK;BEZPP;873;2.24;0;False;2006
7;Česká str.sociálně demokrat.;41;Šímová Petra;;33;ČSSD;ČSSD;3761;2.07;34;False;2006
6;Zelení a otevřená společnost;31;Šímová Stanislava;;59;SZ;BEZPP;1690;1.97;28;False;2006
8;Křesť.demokr.unie-Čs.str.lid.;21;Šišolák Milan;JUDr.;44;KDU-ČSL;KDU-ČSL;2022;2.12;18;False;2006
8;Křesť.demokr.unie-Čs.str.lid.;37;Šlechta Jaroslav;Ing.;73;KDU-ČSL;KDU-ČSL;1916;2.01;33;False;2006
4;Komunistická str.Čech a Moravy;12;Šperger Gustav;;60;KSČM;BEZPP;3398;2.27;6;False;2006
5;Občanská demokratická strana;9;Špika Jan;Ing.;56;ODS;ODS;12026;2.26;9;True;2006
5;Občanská demokratická strana;19;Šporclová Jaroslava;Mgr.;63;ODS;ODS;11936;2.24;19;True;2006
1;Nezávislí pro lidi, pro město;39;Šrámek Jaroslav;;63;NEZ/DEM;BEZPP;693;1.78;0;False;2006
5;Občanská demokratická strana;30;Štabrňák Petr;;30;ODS;ODS;11767;2.21;7;False;2006
7;Česká str.sociálně demokrat.;35;Štark Jan;;74;ČSSD;ČSSD;3885;2.14;28;False;2006
8;Křesť.demokr.unie-Čs.str.lid.;39;Štarková Hana;;46;KDU-ČSL;BEZPP;1954;2.05;35;False;2006
1;Nezávislí pro lidi, pro město;22;Šulcová Božena;;61;NEZ/DEM;BEZPP;772;1.98;0;False;2006
7;Česká str.sociálně demokrat.;44;Švamberk František;;57;ČSSD;ČSSD;3463;1.91;37;False;2006
1;Nezávislí pro lidi, pro město;25;Tajrych Jiří;Ing.;57;NK;BEZPP;778;2.0;0;False;2006
8;Křesť.demokr.unie-Čs.str.lid.;17;Talíř Jaromír;Ing.;56;KDU-ČSL;KDU-ČSL;2554;2.67;4;True;2006
3;SNK Evropští demokraté;35;Tampírová Helena;;56;SNK ED;BEZPP;1216;1.94;33;False;2006
3;SNK Evropští demokraté;43;Täuber Jiří;;48;SNK ED;BEZPP;1062;1.7;41;False;2006
4;Komunistická str.Čech a Moravy;22;Tauerová Marie;;63;KSČM;BEZPP;3304;2.2;16;False;2006
4;Komunistická str.Čech a Moravy;5;Tekel Ivan;Ing.;40;KSČM;BEZPP;3588;2.39;5;True;2006
8;Křesť.demokr.unie-Čs.str.lid.;5;Tetter Miroslav;Doc. RNDr. CSc.;68;KDU-ČSL;KDU-ČSL;3108;3.26;2;True;2006
5;Občanská demokratická strana;1;Thoma Juraj;Mgr.;37;ODS;ODS;12517;2.35;2;True;2006
7;Česká str.sociálně demokrat.;42;Trachta Jiří;;65;ČSSD;ČSSD;3638;2.0;35;False;2006
1;Nezávislí pro lidi, pro město;2;Trdla Aleš;;42;NEZ/DEM;BEZPP;1210;3.11;0;False;2006
5;Občanská demokratická strana;18;Trešlová Leona;Ing.;27;ODS;ODS;11912;2.24;18;True;2006
8;Křesť.demokr.unie-Čs.str.lid.;24;Tuček Jan;MUDr.;38;KDU-ČSL;BEZPP;2446;2.56;3;False;2006
5;Občanská demokratická strana;31;Tůma Jan;Ing.;58;ODS;ODS;11827;2.22;8;False;2006
3;SNK Evropští demokraté;37;Tupý Miroslav;Ing. arch.;40;SNK ED;BEZPP;1261;2.02;35;False;2006
5;Občanská demokratická strana;26;Turek Daniel;;25;ODS;ODS;11825;2.22;3;False;2006
2;Pravý Blok;1;Turek Karel;Ing.;29;PB;BEZPP;309;56.38;0;False;2006
4;Komunistická str.Čech a Moravy;32;Turnovský František;;75;KSČM;KSČM;3242;2.16;26;False;2006
8;Křesť.demokr.unie-Čs.str.lid.;15;Valha František;MUDr.;59;KDU-ČSL;KDU-ČSL;2307;2.42;13;False;2006
7;Česká str.sociálně demokrat.;19;Valíček Vladimír;;59;ČSSD;ČSSD;4083;2.25;12;False;2006
4;Komunistická str.Čech a Moravy;44;Vaněk Jan;;72;KSČM;KSČM;3045;2.03;38;False;2006
5;Občanská demokratická strana;27;Vávře Roman;;33;ODS;ODS;11790;2.22;4;False;2006
7;Česká str.sociálně demokrat.;31;Vejvoda Jiří;;68;ČSSD;ČSSD;3951;2.18;24;False;2006
4;Komunistická str.Čech a Moravy;18;Velát Vítězslav;Ing.;43;KSČM;BEZPP;3414;2.28;12;False;2006
2;Pravý Blok;2;Velková Milada;;49;PB;BEZPP;239;43.61;0;False;2006
4;Komunistická str.Čech a Moravy;20;Veverková Marie;;55;KSČM;KSČM;3360;2.24;14;False;2006
4;Komunistická str.Čech a Moravy;33;Vícha Bedřich;;70;KSČM;KSČM;3243;2.16;27;False;2006
4;Komunistická str.Čech a Moravy;38;Vítů Václav;;72;KSČM;KSČM;3208;2.14;32;False;2006
1;Nezávislí pro lidi, pro město;40;Vlčková Jiřina;;65;NEZ/DEM;BEZPP;683;1.75;0;False;2006
7;Česká str.sociálně demokrat.;20;Voců Hana;;30;ČSSD;ČSSD;4084;2.25;13;False;2006
8;Křesť.demokr.unie-Čs.str.lid.;1;Vodička Rudolf;Mgr.;46;KDU-ČSL;KDU-ČSL;3370;3.53;1;True;2006
3;SNK Evropští demokraté;5;Volfová Vlasta;Ing.;51;SNK ED;SNK ED;1625;2.6;6;False;2006
6;Zelení a otevřená společnost;35;Vondrušová Leona;;57;SZ;BEZPP;1670;1.94;32;False;2006
8;Křesť.demokr.unie-Čs.str.lid.;14;Vonešová Vlastimila;;62;KDU-ČSL;BEZPP;1974;2.07;12;False;2006
4;Komunistická str.Čech a Moravy;23;Vrána Ludvík;;66;KSČM;KSČM;3300;2.2;17;False;2006
1;Nezávislí pro lidi, pro město;23;Zábranský Vladimír;;56;NEZ/DEM;BEZPP;835;2.14;0;False;2006
3;SNK Evropští demokraté;38;Zadražil Zdeněk;;52;SNK ED;BEZPP;1157;1.85;36;False;2006
5;Občanská demokratická strana;8;Zahradník Jan;RNDr.;57;ODS;ODS;13277;2.5;1;True;2006
4;Komunistická str.Čech a Moravy;39;Zápotočná Ludmila;;74;KSČM;KSČM;3201;2.14;33;False;2006
6;Zelení a otevřená společnost;3;Závorová Yvona;MUDr.;59;SZ;BEZPP;2541;2.96;2;True;2006
6;Zelení a otevřená společnost;5;Zavřelová Marta;PhDr.;51;SOS;BEZPP;2391;2.78;1;False;2006
7;Česká str.sociálně demokrat.;3;Zdvihal Vladimír;Ing. arch.;57;ČSSD;ČSSD;4362;2.4;3;True;2006
3;SNK Evropští demokraté;19;Zeman Jaromír;;54;SNK ED;SNK ED;1258;2.01;17;False;2006
4;Komunistická str.Čech a Moravy;45;Zemanová Emilie;;73;KSČM;KSČM;2900;1.93;39;False;2006
5;Občanská demokratická strana;14;Ziegler Karel;Ing.;58;ODS;ODS;11932;2.24;14;True;2006
3;SNK Evropští demokraté;29;Zikmund Václav;;55;SNK ED;BEZPP;1197;1.91;27;False;2006
8;Křesť.demokr.unie-Čs.str.lid.;31;Zimmel Vilém;;36;KDU-ČSL;KDU-ČSL;1921;2.01;27;False;2006
8;Křesť.demokr.unie-Čs.str.lid.;16;Žižka Jiří;Ing.;54;KDU-ČSL;KDU-ČSL;2032;2.13;14;False;2006
10;SVOBODNÍ - PIRÁTI;22;Adam Vlastimil;Bc.;23;Piráti;BEZPP;393;2.53;0;False;2010
10;SVOBODNÍ - PIRÁTI;3;Ambrož Michal;Mgr.;29;Svobodní;Svobodní;539;3.47;0;False;2010
7;Komunistická str.Čech a Moravy;15;Arndtová Jitka;;58;KSČM;KSČM;3258;2.25;9;False;2010
7;Komunistická str.Čech a Moravy;19;Aubrecht Václav;;60;KSČM;KSČM;3254;2.24;13;False;2010
9;OTEVŘENÁ SPOLEČNOST A ZELENÍ;9;Augustin Martin;Ing. arch. Ph.D.;38;SOS;BEZPP;1361;2.95;0;False;2010
15;Občanská demokratická strana;34;Badalová Zdeňka;Ing.;32;ODS;ODS;4105;2.16;26;False;2010
9;OTEVŘENÁ SPOLEČNOST A ZELENÍ;31;Balounová Zuzana;Ing. Ph.D.;56;SZ;BEZPP;960;2.08;0;False;2010
10;SVOBODNÍ - PIRÁTI;7;Bárta Bohumil;;56;Svobodní;Svobodní;402;2.59;0;False;2010
15;Občanská demokratická strana;35;Bartoňová Eva;Ing.;30;ODS;ODS;4081;2.15;27;False;2010
10;SVOBODNÍ - PIRÁTI;32;Bártová Michaela;;41;Svobodní;BEZPP;355;2.29;0;False;2010
9;OTEVŘENÁ SPOLEČNOST A ZELENÍ;4;Bazalová Eva;Bc.;47;SOS;SOS;1344;2.92;0;False;2010
5;SNK Evropští demokraté;6;Bednářová Petra;Ing. Ph.D.;37;SNK ED;SNK ED;1043;2.82;0;False;2010
10;SVOBODNÍ - PIRÁTI;29;Benda Miroslav;;28;Svobodní;BEZPP;387;2.49;0;False;2010
11;Křesť.demokr.unie-Čs.str.lid.;34;Benda Vít;;32;KDU-ČSL;BEZPP;942;1.96;0;False;2010
7;Komunistická str.Čech a Moravy;34;Bendík Karel;;73;KSČM;KSČM;3146;2.17;28;False;2010
13;Věci veřejné;36;Beneš Jiří;;34;VV;BEZPP;723;2.06;0;False;2010
8;OBČANÉ PRO BUDĚJOVICE;17;Beneš Karel;Mgr.;43;NK;BEZPP;7418;2.22;2;False;2010
4;VOLBA PRO MĚSTO;3;Beneš Miroslav;Ing.;30;VPM;BEZPP;1249;2.78;0;False;2010
13;Věci veřejné;11;Beníšek David;;25;VV;BEZPP;804;2.29;0;False;2010
13;Věci veřejné;17;Beran Martin;Ing.;31;VV;BEZPP;802;2.28;0;False;2010
6;TOP 09;19;Beránek Radim;Ing.;40;TOP 09;TOP 09;3039;2.36;12;False;2010
4;VOLBA PRO MĚSTO;4;Beránek Radoslav;MUDr.;76;VPM;BEZPP;1261;2.8;0;False;2010
2;"""Strana soukromníků ČR""";12;Bernát Ladislav;;56;SsČR;BEZPP;159;3.91;0;False;2010
8;OBČANÉ PRO BUDĚJOVICE;26;Betáková Lucie;PhDr. M.A., Ph.D.;42;NK;BEZPP;7455;2.23;11;False;2010
6;TOP 09;14;Bezecný Zdeněk;Mgr. Ph.D.;38;TOP 09;TOP 09;3255;2.53;5;True;2010
1;SPOZ a SUVERENITA;16;Bezemek Bohumil;JUDr.;58;SPOZ;SPOZ;883;3.14;0;False;2010
2;"""Strana soukromníků ČR""";11;Bílková Stanislava;;72;SsČR;BEZPP;85;2.09;0;False;2010
4;VOLBA PRO MĚSTO;38;Bílková Zuzana;;48;VPM;BEZPP;813;1.81;0;False;2010
15;Občanská demokratická strana;17;Bína Miroslav;Mgr.;33;ODS;ODS;4245;2.24;9;False;2010
8;OBČANÉ PRO BUDĚJOVICE;43;Binter Arnošt;;32;"""HOPB""";"""HOPB""";6346;1.9;28;False;2010
4;VOLBA PRO MĚSTO;43;Bláha Milan;;52;VPM;BEZPP;720;1.6;0;False;2010
2;"""Strana soukromníků ČR""";28;Bočková Ivana;;49;SsČR;BEZPP;112;2.75;0;False;2010
14;Česká str.sociálně demokrat.;23;Bodláková Miroslava;;52;ČSSD;ČSSD;4747;2.22;13;False;2010
7;Komunistická str.Čech a Moravy;37;Böhm Jan;;78;KSČM;KSČM;3119;2.15;31;False;2010
8;OBČANÉ PRO BUDĚJOVICE;9;Bouda Karel;;24;"""HOPB""";"""HOPB""";7473;2.23;9;True;2010
6;TOP 09;1;Bouzek Tomáš;JUDr. Ing.;35;TOP 09;TOP 09;3842;2.99;1;True;2010
15;Občanská demokratická strana;18;Božoň Pavel;Mgr.;33;ODS;ODS;4214;2.22;10;False;2010
11;Křesť.demokr.unie-Čs.str.lid.;38;Brabec Lubomír;;61;KDU-ČSL;KDU-ČSL;908;1.89;0;False;2010
8;OBČANÉ PRO BUDĚJOVICE;7;Brabec Milan;;30;"""HOPB""";"""HOPB""";7726;2.31;7;True;2010
9;OTEVŘENÁ SPOLEČNOST A ZELENÍ;39;Brejcha Tomáš;DiS.;32;SZ;BEZPP;877;1.9;0;False;2010
14;Česká str.sociálně demokrat.;43;Brejchová Šárka;;41;ČSSD;ČSSD;4258;1.99;33;False;2010
15;Občanská demokratická strana;29;Brett Jan;Mgr.;28;ODS;ODS;4205;2.22;21;False;2010
15;Občanská demokratická strana;28;Brodská Jitka;Ing.;44;ODS;ODS;4171;2.2;20;False;2010
9;OTEVŘENÁ SPOLEČNOST A ZELENÍ;33;Brousková Iveta;;45;SZ;BEZPP;909;1.97;0;False;2010
7;Komunistická str.Čech a Moravy;36;Brucknerová Dana;;48;KSČM;BEZPP;3171;2.19;30;False;2010
15;Občanská demokratická strana;1;Brůha Vladimír;Ing.;48;ODS;ODS;4639;2.45;2;True;2010
14;Česká str.sociálně demokrat.;12;Burda Pavel;MUDr.;43;ČSSD;ČSSD;5046;2.36;2;False;2010
1;SPOZ a SUVERENITA;7;Bureš Roman;Ing.;48;Suveren.;SDŽ;633;2.25;0;False;2010
9;OTEVŘENÁ SPOLEČNOST A ZELENÍ;24;Burešová Eva;Ing.;46;SOS;BEZPP;1090;2.36;0;False;2010
5;SNK Evropští demokraté;28;Burianová Senta;MUDr.;47;SNK ED;BEZPP;917;2.48;0;False;2010
6;TOP 09;4;Calta Kamil;Ing.;45;TOP 09;TOP 09;3242;2.52;6;True;2010
4;VOLBA PRO MĚSTO;18;Celina Daniel;;46;VPM;BEZPP;880;1.96;0;False;2010
9;OTEVŘENÁ SPOLEČNOST A ZELENÍ;8;Cepák Josef;Mgr.;60;SOS;BEZPP;1015;2.2;0;False;2010
5;SNK Evropští demokraté;9;Cieslar Roman;;25;SNK ED;SNK ED;743;2.01;0;False;2010
5;SNK Evropští demokraté;34;Cieslarová Ivana;;47;SNK ED;SNK ED;626;1.69;0;False;2010
9;OTEVŘENÁ SPOLEČNOST A ZELENÍ;44;Cirhanová Hana;;20;SZ;BEZPP;701;1.52;0;False;2010
13;Věci veřejné;2;Cvach Martin;;35;VV;VV;1006;2.86;0;False;2010
14;Česká str.sociálně demokrat.;42;Čadek Jan;;75;ČSSD;ČSSD;4329;2.02;32;False;2010
2;"""Strana soukromníků ČR""";8;Čadek Zdeněk;;46;SsČR;BEZPP;204;5.02;0;False;2010
5;SNK Evropští demokraté;10;Čech František;;60;SNK ED;BEZPP;973;2.63;0;False;2010
8;OBČANÉ PRO BUDĚJOVICE;41;Čekajle Vilém;dipl. ek.;33;NK;BEZPP;6647;1.99;26;False;2010
11;Křesť.demokr.unie-Čs.str.lid.;11;Čermáková Michaela;Mgr.;51;KDU-ČSL;BEZPP;1249;2.6;0;False;2010
2;"""Strana soukromníků ČR""";1;Čermín Vladislav;Bc. MSc., MBA;52;SsČR;SsČR;273;6.72;0;False;2010
10;SVOBODNÍ - PIRÁTI;27;Černý Přemysl;;33;Svobodní;BEZPP;378;2.43;0;False;2010
8;OBČANÉ PRO BUDĚJOVICE;33;Červenková Jaroslava;;54;NK;BEZPP;7218;2.16;18;False;2010
15;Občanská demokratická strana;32;Červinková Jana;;46;ODS;ODS;4112;2.17;24;False;2010
9;OTEVŘENÁ SPOLEČNOST A ZELENÍ;13;Čítek Jindřich;doc. Ing. CSc.;51;SZ;BEZPP;1181;2.56;0;False;2010
15;Občanská demokratická strana;27;Čížek Martin;;30;ODS;ODS;4134;2.18;19;False;2010
7;Komunistická str.Čech a Moravy;33;Čtveráček Břetislav;;75;KSČM;KSČM;3150;2.17;27;False;2010
6;TOP 09;16;Divišová Jitka;;63;TOP 09;TOP 09;2976;2.31;9;False;2010
9;OTEVŘENÁ SPOLEČNOST A ZELENÍ;37;Dobešová Věnceslava;;60;SZ;BEZPP;854;1.85;0;False;2010
6;TOP 09;2;Dolejš Slavoj;Bc.;33;TOP 09;TOP 09;3390;2.63;3;True;2010
4;VOLBA PRO MĚSTO;21;Doležal Jiří;MUDr.;52;VPM;BEZPP;1148;2.55;0;False;2010
