Číslo;Název;Pořadové číslo;Příjmení, jméno;Tituly;Věk;Navrhující strana;Politická příslušnost;Hlasy abs.;Hlasy v %;Pořadí zvolení/náhradníka;Mandát;Rok
14;ŽENY 2014;23;Křivánková Iveta;;43;NK;BEZPP;478;2.11;0;False;2014
11;SPOLEČNĚ PRO ČESKÉ BUDĚJOVICE;41;Křížková Eva;Ing.;54;Piráti;BEZPP;826;1.99;0;False;2014
17;Občanská demokratická strana;12;Kuba Martin;MUDr.;41;ODS;ODS;1365;2.41;9;False;2014
11;SPOLEČNĚ PRO ČESKÉ BUDĚJOVICE;9;Kubečka Jan;prof.;53;Zelení;Zelení;1039;2.51;0;False;2014
13;OBČANÉ PRO BUDĚJOVICE;18;Kubeš Jan;Mgr.;38;NK;BEZPP;3362;2.27;10;False;2014
16;ANO 2011;5;Kubíček Roman;Ing. Ph.D.;51;ANO;ANO;5055;2.34;5;True;2014
4;Toryové;3;Kuboušek Tomáš;;31;TOR;BEZPP;635;2.46;0;False;2014
17;Občanská demokratická strana;41;Kubová Růžena;;68;ODS;ODS;1113;1.96;38;False;2014
8;Pol.hn.JIHOČEŠI 2012 a SPORT;35;Kučera Luděk;Bc.;48;PRO ZS;PRO ZS;712;1.89;0;False;2014
7;Strana svobodných občanů;11;Kučera Petr;Ing.;37;Svobodní;BEZPP;821;2.34;0;False;2014
10;TOP 09;23;Kučera Zdeněk;;70;TOP 09;TOP 09;1500;2.17;19;False;2014
16;ANO 2011;42;Kudláček Jiří;Bc.;52;ANO;ANO;4415;2.04;30;False;2014
9;Křesť.demokr.unie-Čs.str.lid.;13;Kudláčková Michaela;Ing.;56;KDU-ČSL;BEZPP;1484;2.57;2;False;2014
7;Strana svobodných občanů;43;Kuchta Tomáš;;25;Svobodní;BEZPP;680;1.94;0;False;2014
4;Toryové;23;Kümmelová Milena;;60;TOR;BEZPP;543;2.1;0;False;2014
6;DOMA v Budějcích;37;Kumnácká Edita;;78;NK;BEZPP;628;1.99;0;False;2014
8;Pol.hn.JIHOČEŠI 2012 a SPORT;17;Kuna Zdeněk;;44;PRO ZS;PRO ZS;802;2.13;0;False;2014
